"V1.B","V1.C","V1.D","V1.E","V1.F","V1.H","V2.A","V2.H","V2.K","V2.R","V2.S","V2.X","V3.C","V3.I","V3.O","V3.X","V4.1","V5.1","V5.2","V5.3","V6.1","V7.1","V8.1","V9.1","target"
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","1","1","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0.5
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1",0.5
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",1
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1",0.5
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1",0.5
"0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","1",0.5
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","0","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1",0.5
"0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","1",0
"0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","1","0","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","1","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","1","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","0","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","0","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","1","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","1","0","1",0.5
"0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","1","0","0","1",0
"0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","1",0
"0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1",0
"0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1",0
"0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","1","1","0","1",0
"0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0.5
"0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1",0
"0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","1",0
"0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1",0
"0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1",0
"0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","1","0","1",0.5
"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1",0
"0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0.5
"0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","1",0
"0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1",0
"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1",1
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","1","1",0
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","1",0
"0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","1","1",0
"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","1",0.5
"0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","0","1",0
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","1",0
"0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1",0
