F0,F1,F2,F3,F4,F5,F6,target
0,1,1,1,1,0,1,1
1,0,0,1,1,1,0,0
1,0,0,1,1,1,0,0
0,1,1,1,1,1,0,1
1,0,1,1,0,0,0,1
0,1,1,1,1,1,1,0
0,0,1,1,0,1,0,1
1,0,0,1,1,1,0,0
1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,1
1,1,0,0,1,1,1,1
0,0,1,1,1,0,0,1
0,1,1,1,1,1,0,1
0,0,0,1,0,1,1,1
1,0,0,1,0,1,0,1
0,0,0,1,1,1,0,1
1,0,0,0,1,1,0,1
1,1,0,0,0,1,1,0
0,1,1,1,1,1,0,1
0,1,0,1,0,1,1,0
1,1,1,1,0,0,0,0
0,1,0,1,0,1,1,0
0,1,0,1,1,1,1,1
0,1,1,0,0,0,0,0
1,0,1,0,1,0,1,0
1,1,0,0,0,1,1,0
0,1,1,0,1,0,1,0
0,1,1,0,1,0,1,0
1,1,1,1,1,0,1,0
0,1,1,0,0,1,0,1